sample_accession	fastq_ftp	sample_title	run_accession
SAMN03766040	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/007/SRR2057567/SRR2057567.fastq.gz	SRSF1_iCLIP_mm9_Rep4	SRR2057567
SAMN03766048	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/004/SRR2057574/SRR2057574.fastq.gz	SRSF3_iCLIP_mm9_Rep2	SRR2057574
SAMN03766051	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/007/SRR2057577/SRR2057577.fastq.gz	SRSF4_iCLIP_mm9_Rep2	SRR2057577
SAMN03766056	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/002/SRR2057582/SRR2057582.fastq.gz	SRSF5_iCLIP_mm9_Rep4	SRR2057582
SAMN03766061	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/007/SRR2057587/SRR2057587.fastq.gz	SRSF7_iCLIP_mm9_Rep2	SRR2057587
SAMN03766067	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/000/SRR2057590/SRR2057590.fastq.gz	SRSF7_iCLIP_mm9_Rep5	SRR2057590
SAMN03766068	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/001/SRR2057591/SRR2057591.fastq.gz	SRSF7_iCLIP_mm9_Rep6	SRR2057591
SAMN03766064	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/004/SRR2057594/SRR2057594.fastq.gz	NXF1_iCLIP_mm9_Rep3	SRR2057594
SAMN03766037	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/004/SRR2057564/SRR2057564.fastq.gz	SRSF1_iCLIP_mm9_Rep1	SRR2057564
SAMN03766038	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/005/SRR2057565/SRR2057565.fastq.gz	SRSF1_iCLIP_mm9_Rep2	SRR2057565
SAMN03766039	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/006/SRR2057566/SRR2057566.fastq.gz	SRSF1_iCLIP_mm9_Rep3	SRR2057566
SAMN03766042	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/008/SRR2057568/SRR2057568.fastq.gz	SRSF2_iCLIP_mm9_Rep1	SRR2057568
SAMN03766043	ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/009/SRR2057569/SRR2057569.fastq.gz	SRSF2_iCLIP_mm9_Rep2	SRR2057569
