Tool,File,Peak memory used,Runtime,Grouping Method,Singletons,Dataset,Completed?,Input reads (total),Input reads (mapped),Ouput reads (total),Output reads (mapped),Iteration
UMI-tools_0,SRR2057572.bam,1.146820068359375,359.3710436820984,,Singletons,iclip,Completed,51266941,38909086,9259813,9259813,0
UMI-tools_0,SRR2057566.bam,0.3422088623046875,129.14136409759521,,Singletons,iclip,Completed,58026048,32112503,704326,704326,0
UMI-tools_0,SRR2057598.bam,0.1392974853515625,26.97317099571228,,Singletons,iclip,Completed,16928257,7628082,29821,29821,0
UMI-tools_0,SRR2057567.bam,0.1478118896484375,59.00857901573181,,Singletons,iclip,Completed,29073508,16150468,48403,48403,0
UMI-tools_0,SRR2057573.bam,0.9679718017578125,162.27015900611877,,Singletons,iclip,Completed,36547643,29099813,3029168,3029168,0
UMI-tools_0,SRR2057565.bam,0.610748291015625,173.924791097641,,Singletons,iclip,Completed,54224960,37282481,1736316,1736316,0
UMI-tools_0,SRR2057571.bam,0.6563262939453125,176.12495279312134,,Singletons,iclip,Completed,53324083,38959442,1730167,1730167,0
UMI-tools_0,SRR2057570.bam,0.208465576171875,103.52397394180298,,Singletons,iclip,Completed,40405667,28847003,248349,248349,0
UMI-tools_0,SRR2057564.bam,1.08642578125,176.14957523345947,,Singletons,iclip,Completed,34489769,22727389,3960913,3960913,0
UMI-tools_0,SRR2057574.bam,1.23358154296875,308.11219024658203,,Singletons,iclip,Completed,34025199,25909660,10320093,10320093,0
UMI-tools_0,SRR2057575.bam,1.2272186279296875,338.2280490398407,,Singletons,iclip,Completed,44442666,35308346,9919599,9919599,0
UMI-tools_0,SRR2057577.bam,1.1236724853515625,246.33086013793945,,Singletons,iclip,Completed,43973441,28871002,6248150,6248150,0
UMI-tools_0,SRR2057588.bam,0.256103515625,121.15312266349792,,Singletons,iclip,Completed,43441898,32658152,438292,438292,0
UMI-tools_0,SRR2057589.bam,1.1203155517578125,377.0496561527252,,Singletons,iclip,Completed,42863448,32826007,14622457,14622457,0
UMI-tools_0,SRR2057576.bam,0.3766632080078125,116.33776998519897,,Singletons,iclip,Completed,40150715,25982822,848650,848650,0
UMI-tools_0,SRR2057590.bam,0.183685302734375,74.01789212226868,,Singletons,iclip,Completed,29013856,21033934,175543,175543,0
UMI-tools_0,SRR2057584.bam,1.109039306640625,224.7506139278412,,Singletons,iclip,Completed,42826826,31966575,5430607,5430607,0
UMI-tools_0,SRR2057585.bam,1.10479736328125,318.96068930625916,,Singletons,iclip,Completed,40639954,29655146,9010288,9010288,0
