Track	fold	level	hits	totals
SRR2057574_dedup.bam	1	1	1140848	7971669
SRR2057574_dedup.bam	1	2	419446	693280
SRR2057574_dedup.bam	2	1	260288	7971669
SRR2057574_dedup.bam	2	2	184696	693280
SRR2057575_dedup.bam	1	1	1126880	7565917
SRR2057575_dedup.bam	1	2	398868	633855
SRR2057575_dedup.bam	2	1	260288	7565917
SRR2057575_dedup.bam	2	2	181254	633855
SRR2057573_dedup.bam	1	1	568806	2273857
SRR2057573_dedup.bam	1	2	140358	166639
SRR2057573_dedup.bam	2	1	260288	2273857
SRR2057573_dedup.bam	2	2	114672	166639
