Track	fold	level	hits	totals
SRR2057583_dedup.bam	1	1	1320032	6715074
SRR2057583_dedup.bam	1	2	492112	729845
SRR2057583_dedup.bam	2	1	415116	6715074
SRR2057583_dedup.bam	2	2	272367	729845
SRR2057584_dedup.bam	1	1	1028723	3796655
SRR2057584_dedup.bam	1	2	307938	382636
SRR2057584_dedup.bam	2	1	415116	3796655
SRR2057584_dedup.bam	2	2	217497	382636
SRR2057585_dedup.bam	1	1	1261659	6421101
SRR2057585_dedup.bam	1	2	433263	628646
SRR2057585_dedup.bam	2	1	415116	6421101
SRR2057585_dedup.bam	2	2	253439	628646
