Track	fold	level	hits	totals
SRR2057574_rumina.bam	1	1	1140848	7971669
SRR2057574_rumina.bam	1	2	419531	693493
SRR2057574_rumina.bam	2	1	260288	7971669
SRR2057574_rumina.bam	2	2	184713	693493
SRR2057575_rumina.bam	1	1	1126880	7565917
SRR2057575_rumina.bam	1	2	398970	634154
SRR2057575_rumina.bam	2	1	260288	7565917
SRR2057575_rumina.bam	2	2	181273	634154
SRR2057573_rumina.bam	1	1	568806	2273857
SRR2057573_rumina.bam	1	2	140416	166774
SRR2057573_rumina.bam	2	1	260288	2273857
SRR2057573_rumina.bam	2	2	114705	166774
