Track	fold	level	hits	totals
SRR2057577_rumina.bam	1	1	270634	4523055
SRR2057577_rumina.bam	1	2	159628	490719
SRR2057577_rumina.bam	2	1	64612	4523055
SRR2057577_rumina.bam	2	2	59328	490719
SRR2057576_rumina.bam	1	1	136425	435120
SRR2057576_rumina.bam	1	2	54095	90130
SRR2057576_rumina.bam	2	1	64612	435120
SRR2057576_rumina.bam	2	2	39292	90130
SRR2057578_rumina.bam	1	1	213341	964072
SRR2057578_rumina.bam	1	2	78193	136373
SRR2057578_rumina.bam	2	1	64612	964072
SRR2057578_rumina.bam	2	2	44520	136373
