Track	fold	level	hits	totals
SRR2057583_rumina.bam	1	1	1320032	6715074
SRR2057583_rumina.bam	1	2	492549	730757
SRR2057583_rumina.bam	2	1	415116	6715074
SRR2057583_rumina.bam	2	2	272520	730757
SRR2057584_rumina.bam	1	1	1028723	3796655
SRR2057584_rumina.bam	1	2	308677	383761
SRR2057584_rumina.bam	2	1	415116	3796655
SRR2057584_rumina.bam	2	2	217889	383761
SRR2057585_rumina.bam	1	1	1261659	6421101
SRR2057585_rumina.bam	1	2	433701	629572
SRR2057585_rumina.bam	2	1	415116	6421101
SRR2057585_rumina.bam	2	2	253620	629572
