Track	fold	level	hits	totals
SRR2057574_rumina.bam	1	1	271036	1850733
SRR2057574_rumina.bam	1	2	89325	115621
SRR2057574_rumina.bam	2	1	98644	1850733
SRR2057574_rumina.bam	2	2	61130	115621
SRR2057575_rumina.bam	1	1	321478	3053698
SRR2057575_rumina.bam	1	2	127852	206299
SRR2057575_rumina.bam	2	1	98644	3053698
SRR2057575_rumina.bam	2	2	72263	206299
SRR2057573_rumina.bam	1	1	256402	1656480
SRR2057573_rumina.bam	1	2	83879	107855
SRR2057573_rumina.bam	2	1	98644	1656480
SRR2057573_rumina.bam	2	2	58702	107855
