Track	fold	level	hits	totals
SRR2057574_rumina.bam	1	1	261632	1819621
SRR2057574_rumina.bam	1	2	82854	108286
SRR2057574_rumina.bam	2	1	94406	1819621
SRR2057574_rumina.bam	2	2	56544	108286
SRR2057575_rumina.bam	1	1	314472	3020398
SRR2057575_rumina.bam	1	2	124311	202297
SRR2057575_rumina.bam	2	1	94406	3020398
SRR2057575_rumina.bam	2	2	68734	202297
SRR2057573_rumina.bam	1	1	252994	1652313
SRR2057573_rumina.bam	1	2	83307	108222
SRR2057573_rumina.bam	2	1	94406	1652313
SRR2057573_rumina.bam	2	2	56559	108222
