Track	fold	level	hits	totals
SRR2057583_rumina.bam	1	1	332221	1995544
SRR2057583_rumina.bam	1	2	117841	158597
SRR2057583_rumina.bam	2	1	115801	1995544
SRR2057583_rumina.bam	2	2	74815	158597
SRR2057584_rumina.bam	1	1	357325	2366029
SRR2057584_rumina.bam	1	2	138263	208545
SRR2057584_rumina.bam	2	1	115801	2366029
SRR2057584_rumina.bam	2	2	79969	208545
SRR2057585_rumina.bam	1	1	287917	1643705
SRR2057585_rumina.bam	1	2	92516	116616
SRR2057585_rumina.bam	2	1	115801	1643705
SRR2057585_rumina.bam	2	2	67749	116616
