Tool,File,Peakmemoryused,Runtime,GroupingMethod,Singletons,Dataset,Completed?,Inputreads,Ouputreads,Iteration
UMI-tools,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,0.37677002,14.82620096,,Singletons,hiv_sub,Completed,1500000,203004,0
UMICollapse,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,1.480697632,5.673950911,,Singletons,hiv_sub,Completed,1500000,203004,0
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,0.540206909,5.361125946,directional,Strict,hiv_sub,Completed,1500000,157370,0
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,0.585998535,5.256123066,acyclic,Strict,hiv_sub,Completed,1500000,157411,0
UMI-tools,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,0.377548218,14.84674883,,Singletons,hiv_sub,Completed,1500000,203004,1
UMICollapse,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,1.490478516,5.769273758,,Singletons,hiv_sub,Completed,1500000,203004,1
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,0.581970215,5.2727561,directional,Strict,hiv_sub,Completed,1500000,157370,1
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,0.570159912,5.148378849,acyclic,Strict,hiv_sub,Completed,1500000,157412,1
UMI-tools,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,0.378265381,14.94766283,,Singletons,hiv_sub,Completed,1500000,203004,2
UMICollapse,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,1.501998901,5.784580946,,Singletons,hiv_sub,Completed,1500000,203004,2
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,0.538360596,5.354649305,directional,Strict,hiv_sub,Completed,1500000,157370,2
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs075M_fixOK_sorted.bam,0.5496521,5.251869917,acyclic,Strict,hiv_sub,Completed,1500000,157411,2
UMI-tools,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,0.41267395,20.6694541,,Singletons,hiv_sub,Completed,3000000,204878,0
UMICollapse,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,1.776901245,8.422195196,,Singletons,hiv_sub,Completed,3000000,204878,0
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,0.868927002,6.167921782,directional,Strict,hiv_sub,Completed,3000000,165117,0
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,0.876205444,6.038401127,acyclic,Strict,hiv_sub,Completed,3000000,165138,0
UMI-tools,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,0.413467407,20.81916285,,Singletons,hiv_sub,Completed,3000000,204878,1
UMICollapse,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,1.807617188,8.418201923,,Singletons,hiv_sub,Completed,3000000,204878,1
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,0.874755859,6.160877943,directional,Strict,hiv_sub,Completed,3000000,165117,1
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,0.891571045,6.05585289,acyclic,Strict,hiv_sub,Completed,3000000,165138,1
UMI-tools,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,0.413040161,20.82611489,,Singletons,hiv_sub,Completed,3000000,204878,2
UMICollapse,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,1.811798096,8.281655788,,Singletons,hiv_sub,Completed,3000000,204878,2
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,0.905090332,6.228449821,directional,Strict,hiv_sub,Completed,3000000,165117,2
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs1.5M_fixOK_sorted.bam,0.883499146,6.147306919,acyclic,Strict,hiv_sub,Completed,3000000,165138,2
UMI-tools,final_amplicon_reads_v2_PCR13_subs12M_fixOK_sorted.bam,0.877700806,103.747575,,Singletons,hiv_sub,Completed,24000000,221234,0
UMICollapse,final_amplicon_reads_v2_PCR13_subs12M_fixOK_sorted.bam,3.709594727,44.18459797,,Singletons,hiv_sub,Completed,24000000,221234,0
RUMINA_8_threads.directional,final_amplicon_reads_v2_PCR13_subs12M_fixOK_sorted.bam,5.380996704,19.0190053,directional,Strict,hiv_sub,Completed,24000000,167814,0
RUMINA_8_threads.acyclic,final_amplicon_reads_v2_PCR13_subs12M_fixOK_sorted.bam,5.39012146,17.86674714,acyclic,Strict,hiv_sub,Completed,24000000,167985,0
